
MIBiG accession	Full / partial MIBiG info	Main product	Biosynthetic class	Organism
BGC0000932	Partial	tropodithietic acid	Other	Phaeobacter inhibens DSM 17395
BGC0000933	Partial	xiamenmycin	Other	Streptomyces xiamenensis
BGC0000936	Partial	pyocyanine	Other	Pseudomonas aeruginosa PAO1
BGC0000937	Partial	fosfazinomycin	Other	Streptomyces sp. WM6372
BGC0000939	Partial	aerobactin	Other	Grimontia hollisae
BGC0000941	Partial	desferrioxamine B	Other	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000943	Partial	staphylobactin	Other	Staphylococcus aureus subsp. aureus NCTC 8325
BGC0000945	Partial	vibriobactin	Other	Vibrio cholerae O1 biovar El Tor str. N16961
BGC0000946	Partial	vibrioferrin	Other	Vibrio parahaemolyticus
BGC0000947	Partial	vibrioferrin	Other	Vibrio alginolyticus
BGC0000949	Partial	A-500359 A / A-500359 B	NRP / Other	Streptomyces griseus
BGC0000951	Partial	pacidamycin 1 / pacidamycin 2 / pacidamycin 3 / pacidamycin 4 / pacidamycin 5 / pacidamycin 6 / pacidamycin 7 / pacidamycin D	NRP / Other	Streptomyces coeruleorubidus
BGC0000957	Partial	ansatrienin (mycotrienin)	NRP / Polyketide	Streptomyces sp. XZQH13
BGC0000960	Partial	azinomycin B	NRP / Polyketide	Streptomyces sahachiroi
BGC0000961	Partial	bactobolin	NRP / Polyketide	Burkholderia thailandensis E264
BGC0000966	Partial	caerulomycin A	NRP / Polyketide	Actinoalloteichus sp. WH1-2216-6
BGC0000974	Partial	crocacin	NRP / Polyketide	Chondromyces crocatus
BGC0000977	Partial	cyclopiazonic acid	NRP / Polyketide	Aspergillus oryzae
BGC0000979	Partial	cylindrospermopsin	NRP / Polyketide	Aphanizomenon sp. 10E9
BGC0000980	Partial	cylindrospermopsin	NRP / Polyketide	Aphanizomenon sp. 22D11
BGC0000981	Partial	cylindrospermopsin	NRP / Polyketide	Aphanizomenon sp. 10E6
BGC0000982	Partial	cystothiazole A	NRP / Polyketide	Cystobacter fuscus
BGC0000984	Partial	delftibactin	NRP / Polyketide	Delftia acidovorans SPH-1
BGC0000986	Partial	Dkxanthene	NRP / Polyketide	Stigmatella aurantiaca DW4/3-1
BGC0000988	Partial	epothilone	NRP / Polyketide	Sorangium cellulosum
BGC0000989	Partial	epothilone	NRP / Polyketide	Sorangium cellulosum So0157-2
BGC0000990	Partial	epothilone	NRP / Polyketide	Sorangium cellulosum
BGC0000991	Partial	epothilone	NRP / Polyketide	Sorangium cellulosum
BGC0000992	Partial	fusaridione A	NRP / Polyketide	Fusarium heterosporum
BGC0000994	Partial	FK520	NRP / Polyketide	Streptomyces hygroscopicus subsp. ascomyceticus
BGC0000995	Partial	FR901464	NRP / Polyketide	Pseudomonas sp. 2663
BGC0000997	Partial	glidobactin	NRP / Polyketide	Polyangium brachysporum
BGC0000998	Partial	guadinomine	NRP / Polyketide	Streptomyces sp. K01-0509
BGC0000999	Partial	heat-stable antifungal factor	NRP / Polyketide	Lysobacter enzymogenes
BGC0001002	Partial	jawsamycin	NRP / Polyketide	Streptomyces roseoverticillatus
BGC0001005	Partial	locillomycin	NRP / Polyketide	Bacillus subtilis
BGC0001009	Partial	melithiazol	NRP / Polyketide	Melittangium lichenicola
BGC0001011	Partial	meridamycin	NRP / Polyketide	Streptomyces sp. NRRL 30748
BGC0001012	Partial	meridamycin	NRP / Polyketide	Streptomyces violaceusniger
BGC0001013	Partial	meridamycin	NRP / Polyketide	Streptomyces sp.
BGC0001015	Partial	microcystin	NRP / Polyketide	Planktothrix agardhii NIVA-CYA 126/8
BGC0001018	Partial	micropeptin k139	NRP / Polyketide	Microcystis aeruginosa K-139
BGC0001020	Partial	muraymycin	NRP / Polyketide	Streptomyces sp. NRRL 30471
BGC0001021	Partial	mycobactin	NRP / Polyketide	Mycobacterium tuberculosis H37Rv
BGC0001022	Partial	myxalamid	NRP / Polyketide	Stigmatella aurantiaca
BGC0001026	Partial	NG-391	NRP / Polyketide	Metarhizium anisopliae
BGC0001027	Partial	nocobactin NA	NRP / Polyketide	Nocardia farcinica IFM 10152
BGC0001030	Partial	ochratoxin A	NRP / Polyketide	Penicillium nordicum
BGC0001031	Partial	oocydin A	NRP / Polyketide	Serratia marcescens
BGC0001032	Partial	oocydin A	NRP / Polyketide	Serratia plymuthica
BGC0001033	Partial	paenilamicin	NRP / Polyketide	Paenibacillus larvae subsp. larvae DSM 25430
BGC0001036	Partial	polyoxypeptin	NRP / Polyketide	Streptomyces sp. MK498-98F14
BGC0001039	Partial	pyridomycin	NRP / Polyketide	Streptomyces pyridomyceticus
BGC0001040	Partial	rapamycin	NRP / Polyketide	Streptomyces rapamycinicus
BGC0001042	Partial	sanglifehrin A	NRP / Polyketide	Streptomyces flaveolus
BGC0001043	Partial	SGR PTMs	NRP / Polyketide	Streptomyces griseus subsp. griseus NBRC 13350
BGC0001044	Partial	sirodesmin	NRP / Polyketide	Leptosphaeria maculans
BGC0001047	Partial	syringolin A	NRP / Polyketide	Pseudomonas syringae
BGC0001053	Partial	tubulysin	NRP / Polyketide	Angiococcus disciformis
BGC0001055	Partial	yersiniabactin	NRP / Polyketide	Escherichia coli
BGC0001057	Partial	zearalenone	NRP / Polyketide	Fusarium graminearum
BGC0001059	Partial	zwittermycin A	NRP / Polyketide	Bacillus cereus
BGC0001060	Partial	dynemicin	Polyketide	Micromonospora chersina
BGC0001062	Partial	TLN-05220	Polyketide	Micromonospora echinospora subsp. challisensis
BGC0001063	Partial	undecylprodigiosin	NRP / Polyketide	Streptomyces coelicolor A3(2)
BGC0001065	Partial	herboxidiene	Polyketide	Streptomyces chromofuscus
BGC0001068	Partial	pyripyropene A	Polyketide / Terpene	Penicillium coprobium PF1169
BGC0001073	Partial	kosinostatin	NRP / Polyketide	Micromonospora sp. TP-A0468
BGC0001074	Partial	cosmomycin D	Polyketide / Saccharide	Streptomyces olindensis
BGC0001075	Partial	aurachin RE	Polyketide / Terpene	Rhodococcus erythropolis
BGC0001077	Partial	alkyl-O-Dihydrogeranyl-Methoxyhydroquinones	Polyketide / Terpene	Actinoplanes missouriensis 431
BGC0001078	Partial	furaquinocin A	Polyketide / Terpene	Streptomyces sp. KO-3988
BGC0001081	Partial	lolitrem	Alkaloid / Terpene	Epichloe festucae var. lolii
BGC0001085	Partial	teleocidin B	NRP / Terpene	Streptomyces blastmyceticus
BGC0001086	Partial	astaxanthin dideoxyglycoside	Saccharide / Terpene	Sphingomonas sp. PB304
BGC0001087	Partial	sioxanthin	Saccharide / Terpene	Salinispora tropica CNB-440
BGC0001088	Partial	albicidin	NRP / Polyketide	Xanthomonas albilineans
BGC0001091	Partial	corallopyronin	NRP / Polyketide	Corallococcus coralloides
BGC0001093	Partial	disorazole	NRP / Polyketide	Sorangium cellulosum
BGC0001094	Partial	enacyloxin	NRP / Polyketide	Burkholderia ambifaria AMMD
BGC0001096	Partial	FR901464	NRP / Polyketide	Pseudomonas sp. 2663
BGC0001098	Partial	iturin	NRP / Polyketide	Bacillus subtilis
BGC0001100	Partial	lankacidin	NRP / Polyketide	Streptomyces rochei
BGC0001103	Partial	mycosubtilin	NRP / Polyketide	Bacillus subtilis subsp. spizizenii ATCC 6633
BGC0001104	Partial	myxovirescin	NRP / Polyketide	Myxococcus xanthus DK 1622
BGC0001106	Partial	oxazolomycin	NRP / Polyketide	Streptomyces albus
BGC0001107	Partial	patellazole	NRP / Polyketide	Candidatus Endolissoclinum faulkneri L5
BGC0001109	Partial	pederin	NRP / Polyketide	unidentified
BGC0001113	Partial	spliceostatin / FR901464	NRP / Polyketide	Burkholderia sp. FERM BP-3421
BGC0001115	Partial	thiomarinol	NRP / Polyketide	Pseudoalteromonas sp. SANK 73390
BGC0001116	Partial	virginiamycin	NRP / Polyketide	Streptomyces virginiae
BGC0001117	Partial	himastatin	NRP	Streptomyces himastatinicus ATCC 53653
BGC0001124	Partial	pyranonigrin E	Polyketide	Aspergillus niger ATCC 1015
BGC0001125	Partial	puwainaphycins	NRP / Polyketide	Cylindrospermum alatosporum CCALA 988
BGC0001127	Partial	jagaricin	NRP	Janthinobacterium agaricidamnosum
BGC0001128	Partial	luminmide	NRP	Photorhabdus luminescens subsp. laumondii TTO1
BGC0001142	Partial	tryptoquialanine	NRP	Penicillium aethiopicum
BGC0001143	Partial	azanigerone	Polyketide	Aspergillus niger ATCC 1015
BGC0001144	Partial	neosartoricin	Polyketide	Trichophyton tonsurans CBS 112818
BGC0001148	Partial	pheganomycin	NRP / RiPP	Streptomyces cirratus
BGC0001181	Partial	geosmin	Terpene	Streptomyces coelicolor A3(2)
BGC0001183	Partial	lobophorin	Polyketide	Streptomyces sp. FXJ7.023
BGC0001186	Partial	misakinolide	Polyketide	Candidatus Entotheonella sp. (ex. Theonella swinhoei)
BGC0001188	Partial	legonaridin	RiPP	Streptomyces sp. CT34
BGC0001189	Partial	taiwachelin	NRP	Cupriavidus taiwanensis LMG 19424
BGC0001190	Partial	fusaric acid	Polyketide	Fusarium verticillioides 7600
BGC0001191	Partial	A-102395	Other	Amycolatopsis sp. SANK 60206
BGC0001192	Partial	colistin	NRP	Paenibacillus alvei
BGC0001193	Partial	thiolutin	NRP	Saccharothrix algeriensis
BGC0001194	Partial	hitachimycin	Polyketide	Streptomyces scabrisporus
BGC0001195	Partial	nocardiopsin	NRP / Polyketide	Nocardiopsis sp. CMB-M0232
BGC0001196	Partial	desotamide	NRP	Streptomyces scopuliridis
BGC0001197	Partial	frankiamicin	Polyketide	Frankia sp. EAN1pec
BGC0001198	Partial	(+)-O-methylkolavelool	Terpene	Herpetosiphon aurantiacus DSM 785
BGC0001199	Partial	akaeolide	Polyketide	Streptomyces sp. NBRC 109706
BGC0001200	Partial	lorneic acid A	Polyketide	Streptomyces sp. NBRC 109706
BGC0001201	Partial	(+)-eremophilene	Terpene	Sorangium cellulosum So ce56
BGC0001202	Partial	landepoxcin	NRP / Polyketide	uncultured bacterium AR_412
BGC0001203	Partial	clarexpoxcin	NRP / Polyketide	uncultured bacterium AR_456
BGC0001204	Partial	versipelostatin	Polyketide	Streptomyces versipellis
BGC0001205	Partial	communesin	Polyketide	Penicillium expansum
BGC0001206	Partial	indolmycin	Other	Streptomyces griseus subsp. griseus
BGC0001207	Partial	teixobactin	NRP	Eleftheria terrae
BGC0001209	Partial	streptide	RiPP	Streptococcus thermophilus LMD-9
BGC0001210	Partial	pseudomycoicidin	RiPP	Bacillus pseudomycoides DSM 12442
BGC0001211	Partial	albachelin	NRP	Amycolatopsis alba DSM 44262
BGC0001213	Partial	nataxazole	Polyketide	Streptomyces sp. Tu 6176
BGC0001214	Partial	marformycins	NRP	Streptomyces drozdowiczii
BGC0001216	Partial	splenocin	NRP / Polyketide	Streptomyces sp. CNQ431
BGC0001217	Partial	PreQ0 Base	Other	Streptomyces qinglanensis
BGC0001218	Partial	fumosorinone	NRP / Polyketide	Isaria fumosorosea
BGC0001219	Partial	shanorellin	Polyketide	Chaetomium globosum CBS 148.51
BGC0001220	Partial	aculeacin A	NRP	Aspergillus japonicus
BGC0001222	Partial	acidocin B	RiPP	Lactobacillus acidophilus
BGC0001223	Partial	hydroxysporine	Other	uncultured bacterium
BGC0001224	Partial	reductasporine	Other	uncultured bacterium
BGC0001225	Partial	celesticetin	NRP	Streptomyces caelestis
BGC0001227	Partial	isorenieratene	Terpene	Streptomyces collinus Tu 365
BGC0001232	Partial	leucanicidin	Polyketide	Kitasatospora sp. MBT66
BGC0001233	Partial	feglymycin	NRP	Streptomyces sp. DSM 11171
BGC0001234	Partial	4,4'-piperazine-2,5-diyldimethyl-bis-phenol	NRP	Aspergillus flavus NRRL3357
BGC0001235	Partial	antalid	Polyketide	Polyangium spumosum
BGC0001236	Partial	thiotetroamide	Polyketide	Streptomyces afghaniensis
BGC0001237	Partial	thiolactomycin	Polyketide	Salinispora pacifica DSM 45543
BGC0001238	Partial	biotin	Other	Aspergillus nidulans
BGC0001239	Partial	biotin	Other	Aspergillus nidulans
BGC0001240	Partial	serinocyclin A / serinocyclin B	NRP	Chaetomium globosum CBS 148.51
BGC0001241	Partial	ergotamine	Terpene	Claviceps fusiformis
BGC0001242	Partial	fusarubin	Polyketide	Fusarium fujikuroi
BGC0001243	Partial	botryenalol / botrydial / dihydrobotrydial / botryendial / beta-O-Methyl-dihydrobotrydialone / botcinic acid / botcinin A	Polyketide	Botrytis cinerea
BGC0001244	Partial	(-)-Mellein	Polyketide	Parastagonospora nodorum
BGC0001245	Partial	lasiodiplodin	Polyketide	Lasiodiplodia theobromae
BGC0001246	Partial	trans-resorcylide	Polyketide	Sarocladium zeae
BGC0001247	Partial	cercosporin	Polyketide	Cercospora nicotianae
BGC0001248	Partial	clavaric acid	Terpene	Hypholoma sublateritium
BGC0001249	Partial	dimethylcoprogen	NRP	Alternaria alternata
BGC0001250	Partial	epichloenin A	NRP	Epichloe festucae
BGC0001251	Partial	epichloenin A	NRP	Epichloe festucae
BGC0001252	Partial	ACR-toxin	Polyketide	Alternaria alternata
BGC0001253	Partial	ACT-Toxin I	Polyketide	Alternaria alternata
BGC0001254	Partial	ACT-Toxin II	Polyketide	Alternaria alternata
BGC0001255	Partial	equisetin	NRP / Polyketide	Fusarium heterosporum
BGC0001256	Partial	atromentin	Other	Tapinella panuoides
BGC0001257	Partial	1,3,6,8-tetrahydroxynaphthalene	Polyketide	Nodulisporium sp. ATCC74245
BGC0001258	Partial	1,8-dihydroxynaphthalene	Polyketide	Glarea lozoyensis
BGC0001259	Partial	elsinochrome A	Polyketide	Elsinoe fawcettii
BGC0001260	Partial	terpendole E	Terpene	Tolypocladium album
BGC0001261	Partial	AM-toxin	NRP	Alternaria alternata
BGC0001262	Partial	AK-toxin	Polyketide	Alternaria alternata
BGC0001263	Partial	ergometrine	NRP	Claviceps purpurea
BGC0001264	Partial	betaenone A / betaenone B / betaenone C	Polyketide	Phoma betae
BGC0001265	Partial	melanin	Polyketide	Bipolaris oryzae
BGC0001266	Partial	grayanic acid	Polyketide	Cladonia grayi
BGC0001267	Partial	lysergic acid / elymoclavine	Terpene	Claviceps fusiformis
BGC0001268	Partial	fusarin	NRP / Polyketide	Fusarium fujikuroi
BGC0001269	Partial	gibberellin A3 / gibberellin A1 / gibberellin A7 / gibberellin A4 / gibberellin A9	Polyketide / Terpene	Sphaceloma manihoticola
BGC0001270	Partial	gibberellin A3 / gibberellin A1 / gibberellin A7 / gibberellin A4 / gibberellin A9	Polyketide / Terpene	Fusarium fujikuroi
BGC0001271	Partial	emericellin	Polyketide	Aspergillus nidulans FGSC A4
BGC0001272	Partial	elsinochrome B / elsinochrome C	Polyketide	Elsinoe fawcettii
BGC0001273	Partial	asperlactone	Polyketide	Aspergillus ochraceus
BGC0001274	Partial	non-acetylated open-chain sophorolipid / diacetylated lactonic sophorolipid	Other	Starmerella bombicola
BGC0001275	Partial	6-methylsalicyclic acid	Polyketide	Glarea lozoyensis
BGC0001276	Partial	6-methylsalicyclic acid	Polyketide	Aspergillus terreus
BGC0001277	Partial	nivalenol / deoxynivalenol / 3-acetyldeoxynivalenol / 15-acetyldeoxynivalenol / neosolaniol / calonectrin / apotrichodiol / isotrichotriol / 15-decalonectrin / T-2 Toxin / 3-acetyl T-2 toxin / trichodiene	Terpene	Fusarium graminearum
BGC0001278	Partial	nivalenol / deoxynivalenol / 3-acetyldeoxynivalenol / 15-acetyldeoxynivalenol / neosolaniol / calonectrin / apotrichodiol / isotrichotriol / 15-decalonectrin / T-2 Toxin / 3-acetyl T-2 toxin / trichodiene	Terpene	Fusarium sporotrichioides
BGC0001279	Partial	deoxysambucinol / sambucinol / roridin E	Terpene	Myrothecium roridum
BGC0001280	Partial	betaenone C / betaenone A	Polyketide	Phoma betae
BGC0001281	Partial	ustilagic acid	Polyketide	Ustilago maydis 521
BGC0001282	Partial	lolitriol	Other	Epichloe coenophiala
BGC0001284	Partial	alternariol	Terpene	Parastagonospora nodorum SN15
BGC0001286	Partial	itaconic acid	Other	Ustilago maydis
BGC0001287	Partial	chaxamycin A / chaxamycin B / chaxamycin C / chaxamycin D	Polyketide	Streptomyces leeuwenhoekii
BGC0001288	Partial	maklamicin	Polyketide	Micromonospora sp. GMKU326
BGC0001289	Partial	penisin	RiPP	Paenibacillus ehimensis
BGC0001290	Partial	emericellamide A / emericellamide B	NRP	Aspergillus nidulans FGSC A4
BGC0001291	Partial	enterocin NKR-5-3B	RiPP	Enterococcus faecium
BGC0001292	Partial	A33853	Other	Streptomyces sp. NRRL 12068
BGC0001293	Partial	cyclizidine	Polyketide	Streptomyces sp. NCIB 11649
BGC0001294	Partial	7-prenylisatin	Other	Streptomyces sp. MBT28
BGC0001295	Partial	cremeomycin	Other	Streptomyces cremeus
BGC0001296	Partial	streptazone E	Polyketide	Streptomyces sp. MSC090213JE08
BGC0001297	Partial	WS9326	NRP	Streptomyces calvus
BGC0001298	Partial	4-Z-annimycin	Polyketide	Streptomyces calvus
BGC0001299	Partial	chlorotonil	Polyketide	Sorangium cellulosum
BGC0001300	Partial	anthracimycin	Polyketide	Streptomyces sp. CNH365
BGC0001301	Partial	anthracimycin	Polyketide	Streptomyces sp. T676
BGC0001302	Partial	lomofungin	Other	Streptomyces lomondensis
BGC0001303	Partial	lobosamide	Polyketide	Micromonospora sp. RL09-050-HVF-A
BGC0001304	Partial	aflavarin	Polyketide	Aspergillus flavus NRRL3357
BGC0001305	Partial	fujikurins	Polyketide	Fusarium fujikuroi IMI 58289
BGC0001306	Partial	asperipin 2a	RiPP	Aspergillus flavus NRRL3357
BGC0001307	Partial	chaxapeptin	RiPP	Streptomyces leeuwenhoekii
BGC0001308	Partial	simocyclinone D9 / simocyclinone D10 / simocyclinone D11	Polyketide	Streptomyces sp. NRRL B-24484
BGC0001309	Partial	usnic acid	Polyketide	Cladonia uncialis
BGC0001310	Partial	naringenin	Terpene	Streptomyces clavuligerus ATCC 27064
BGC0001312	Partial	viscosin	NRP	Pseudomonas fluorescens SBW25
BGC0001313	Partial	arabidiol-baruol	Terpene	Arabidopsis thaliana
BGC0001314	Partial	tirucalla	Terpene	Arabidopsis thaliana
BGC0001315	Partial	cucurbitacin	Terpene	Cucumis sativus
BGC0001316	Partial	linamarin / lotaustralin	Other	Lotus japonicus
BGC0001317	Partial	lupeol	Terpene	Lotus japonicus
BGC0001318	Partial	linamarin / lotaustralin	Other	Manihot esculenta
BGC0001319	Partial	alpha-tomatine	Terpene	Solanum lycopersicum
BGC0001320	Partial	alpha-chaconine / alpha-solanine	Terpene	Solanum tuberosum
BGC0001321	Partial	monoterpenes-diterpenes	Terpene	Solanum habrochaites
BGC0001322	Partial	lycosantalonol	Terpene	Solanum lycopersicum
BGC0001323	Partial	monoterpenes-diterpenes	Terpene	Solanum pennellii
BGC0001324	Partial	monoterpenes-diterpenes	Terpene	Solanum pimpinellifolium
BGC0001325	Partial	noscapine	Alkaloid	Papaver somniferum
BGC0001342	Partial	thuggacin	NRP / Polyketide	Chondromyces crocatus
BGC0001343	Partial	aurachin	Polyketide	Stigmatella aurantiaca Sg a15
BGC0001344	Partial	tubulysin	NRP / Polyketide	Cystobacter sp. SBCb004
BGC0001345	Partial	myxochelin	NRP	Stigmatella aurantiaca Sg a15
BGC0001349	Partial	heronamide	NRP / Polyketide	Streptomyces sp. SCSIO 03032
BGC0001350	Partial	phormidolide	Polyketide	Leptolyngbya sp. ISBN3-Nov-94-8
BGC0001351	Partial	cahuitamycins	NRP	Streptomyces gandocaensis
BGC0001352	Partial	thiotetronate Tu 3010	NRP / Polyketide	Streptomyces olivaceus
BGC0001353	Partial	thiolactomycin	NRP / Polyketide	Lentzea sp. ATCC 31319
BGC0001354	Partial	U-68204	NRP / Polyketide	Streptomyces thiolactonus
BGC0001355	Partial	U-68204	NRP / Polyketide	Streptomyces sp. MG11
BGC0001356	Partial	paeninodin	RiPP	Paenibacillus dendritiformis C454
BGC0001357	Partial	carbamidocyclophane	Polyketide	Nostoc sp. CAVN2
BGC0001358	Partial	leucinostatins	Polyketide	Purpureocillium lilacinum
BGC0001359	Partial	PM100117 / PM100118	Polyketide	Streptomyces caniferus
BGC0001360	Partial	mycophenolic acid	Polyketide	Penicillium roqueforti FM164
BGC0001361	Partial	sodorifen	Terpene	Serratia plymuthica 4Rx13
BGC0001362	Partial	tropodithietic acid	Other	Phaeobacter inhibens DSM 17395
BGC0001363	Partial	ralsolamycin	NRP / Polyketide	Ralstonia solanacearum GMI1000
BGC0001364	Partial	cinnamycin B	RiPP	Actinomadura atramentaria DSM 43919
BGC0001365	Partial	clapurines	NRP	Claviceps purpurea 20.1
BGC0001366	Partial	BE-24566B / zunyimycin A	Polyketide	Streptomyces sp. FJS31-2
BGC0001367	Partial	haliamide	NRP / Polyketide	Haliangium ochraceum DSM 14365
BGC0001368	Partial	tambromycin	NRP	Streptomyces sp. NRRL F-4474
BGC0001369	Partial	metatricycloene	Polyketide	uncultured bacterium
BGC0001370	Partial	lipopeptide 8D1-1 / lipopeptide 8D1-2	NRP	Streptomyces rochei
BGC0001371	Partial	echinocandin B	NRP	Aspergillus nidulans NRRL 8112
BGC0001372	Partial	penigequinolone	Terpene	Penicillium thymicola
BGC0001373	Partial	sordarin	Polyketide	Sordaria araneosa
BGC0001374	Partial	thienodolin	Other	Streptomyces albogriseolus
BGC0001375	Partial	penitrem	Terpene	Penicillium simplicissimum
BGC0001376	Partial	hexaricin	Polyketide	Streptosporangium sp. FXJ7.131
BGC0001377	Partial	uncialamycin	Polyketide	Streptomyces uncialis
BGC0001378	Partial	tiancimycin	Polyketide	Streptomyces sp. CB03234
BGC0001379	Partial	BD-12	NRP	Streptomyces luteocolor
BGC0001380	Partial	salecan	Saccharide	Agrobacterium sp. ZX09
BGC0001381	Partial	brasilinolide	Polyketide	Nocardia terpenica
BGC0001382	Partial	svaricin	NRP / Polyketide	Streptomyces variabilis
BGC0001383	Partial	macrolactin	Polyketide	Jeotgalibacillus marinus
BGC0001384	Partial	saprolmycin	Polyketide	Streptomyces sp. TK08046
BGC0001385	Partial	byssochlamic acid / agnestadrides	Polyketide	Byssochlamys fulva
BGC0001386	Partial	isofuranonaphthoquinone	Polyketide	Streptomyces sp. RI-77
BGC0001387	Partial	nucleocidin	Other	Streptomyces calvus
BGC0001388	Partial	gassericin E	RiPP	Lactobacillus gasseri
BGC0001389	Partial	cichopeptin	NRP	Pseudomonas cichorii
BGC0001390	Partial	LL-Z1272beta	NRP / Polyketide	Stachybotrys bisbyi
BGC0001391	Partial	thusin	RiPP	Bacillus thuringiensis serovar rongseni
BGC0001392	Partial	pinensins	RiPP	Chitinophaga pinensis DSM 2588
BGC0001393	Partial	lugdunin	NRP	Staphylococcus lugdunensis N920143
BGC0001394	Partial	phenalamide	NRP / Polyketide	Myxococcus stipitatus DSM 14675
BGC0001395	Partial	teichomycin	Other	Actinoplanes teichomyceticus
BGC0001396	Partial	aldgamycin	Polyketide	Streptomyces sp. A1(2016)
BGC0001397	Partial	lidamycin	NRP / Polyketide	Streptomyces globisporus C-1027
BGC0001398	Partial	phomopsins	RiPP	Phomopsis leptostromiformis
BGC0001399	Partial	fellutamide B	NRP	Aspergillus nidulans FGSC A4
BGC0001400	Partial	citreoviridin	Polyketide	Aspergillus terreus NIH2624
BGC0001401	Partial	melleolides	Polyketide	Armillaria mellea
BGC0001402	Partial	cyclochlorotine	NRP	Talaromyces islandicus
BGC0001403	Partial	trypacidin	Polyketide	Aspergillus fumigatus Af293
BGC0001404	Partial	sorbicillin	Polyketide	Penicillium rubens Wisconsin 54-1255
BGC0001405	Partial	chaetoviridin / chaetomugilin	Polyketide	Chaetomium globosum CBS 148.51
BGC0001406	Partial	telomycin	NRP	Streptomyces canus
BGC0001407	Partial	bicereucin	RiPP	Bacillus cereus SJ1
BGC0001408	Partial	xanthoferrin	Other	Xanthomonas oryzae pv. oryzae KACC 10331
BGC0001409	Partial	dutomycin	Polyketide	Streptomyces minoensis
BGC0001410	Partial	polysaccharide A	Saccharide	Bacteroides fragilis
BGC0001411	Partial	polysaccharide B	Saccharide	Bacteroides fragilis
BGC0001412	Partial	polysaccharide C	Saccharide	Bacteroides fragilis
BGC0001413	Partial	cystobactamide	NRP	Cystobacter sp. Cbv34
BGC0001414	Partial	griselimycin	NRP	Streptomyces sp. DSM 40835
BGC0001415	Partial	althiomycin	NRP	Serratia marcescens subsp. marcescens Db11
BGC0001416	Partial	nunapeptin / nunamycin	NRP	Pseudomonas sp. In5
